"CUSEC","army","army_noHQ","army_nb","army_nb10","army_nb5","army_nb2","army_noHQ_nb","army_noHQ_nb10","army_noHQ_nb5","army_noHQ_nb2"
"0202101001",0,0,0,0,0,0,0,0,0,0
"0200303013",0,0,0,1,0,0,0,1,0,0
"0200304014",0,0,0,1,0,0,0,1,0,0
"0200305002",0,0,0,1,0,0,0,1,0,0
"0200306002",0,0,0,1,0,0,0,1,0,0
"0200306004",0,0,0,1,0,0,0,1,0,0
"0200307005",0,0,0,1,0,0,0,1,0,0
"0200307007",0,0,0,1,0,0,0,1,0,0
"0200401001",0,0,0,0,0,0,0,0,0,0
"0200601001",0,0,0,0,0,0,0,0,0,0
"0200903007",0,0,0,0,0,0,0,0,0,0
"0200903009",0,0,0,0,0,0,0,0,0,0
"0201801001",0,0,0,0,0,0,0,0,0,0
"0201901002",0,0,0,0,0,0,0,0,0,0
"0201401001",0,0,0,0,0,0,0,0,0,0
"0201901003",0,0,0,0,0,0,0,0,0,0
"0202501004",0,0,0,0,0,0,0,0,0,0
"0202901001",0,0,1,0,0,0,1,0,0,0
"0203301002",0,0,0,0,0,0,0,0,0,0
"0200302017",0,0,0,1,1,0,0,1,1,0
"0200302019",0,0,0,1,1,0,0,1,1,0
"0200303010",0,0,0,1,0,0,0,1,0,0
"0200303012",0,0,0,1,1,0,0,1,1,0
"0200304013",0,0,0,1,0,0,0,1,0,0
"0200305001",0,0,0,1,0,0,0,1,0,0
"0200306003",0,0,0,1,0,0,0,1,0,0
"0200306005",0,0,0,1,0,0,0,1,0,0
"0200307006",0,0,0,1,0,0,0,1,0,0
"0200307008",0,0,1,1,0,0,1,1,0,0
"0200501001",0,0,0,0,0,0,0,0,0,0
"0200701001",0,0,0,0,0,0,0,0,0,0
"0200903006",0,0,0,0,0,0,0,0,0,0
"0200903008",0,0,0,0,0,0,0,0,0,0
"0200904001",0,0,0,0,0,0,0,0,0,0
"0201701001",0,0,0,0,0,0,0,0,0,0
"0201901001",0,0,0,0,0,0,0,0,0,0
"0202501006",0,0,0,0,0,0,0,0,0,0
"0202601001",0,0,0,0,0,0,0,0,0,0
"0203701001",0,0,0,0,0,0,0,0,0,0
"0200306008",0,0,1,1,0,0,1,1,0,0
"0200306010",0,0,0,1,0,0,0,1,0,0
"0200307001",0,0,0,1,0,0,0,1,0,0
"0200307003",0,0,0,1,0,0,0,1,0,0
"0200901001",0,0,0,0,0,0,0,0,0,0
"0200903003",0,0,0,0,0,0,0,0,0,0
"0200903005",0,0,0,0,0,0,0,0,0,0
"0202001001",0,0,0,0,0,0,0,0,0,0
"0202201001",0,0,0,0,0,0,0,0,0,0
"0200305007",0,0,0,1,0,0,0,1,0,0
"0200305008",0,0,0,1,0,0,0,1,0,0
"0200306012",0,0,0,1,0,0,0,1,0,0
"0200306013",0,0,0,1,0,0,0,1,0,0
"0200307013",0,0,0,1,0,0,0,1,0,0
"0200307016",0,0,0,1,0,0,0,1,0,0
"0200307017",0,0,1,1,0,0,1,1,0,0
"0200902001",0,0,0,0,0,0,0,0,0,0
"0200902002",0,0,0,0,0,0,0,0,0,0
"0201101001",0,0,0,0,0,0,0,0,0,0
"0201201001",0,0,0,0,0,0,0,0,0,0
"0202301001",0,0,0,0,0,0,0,0,0,0
"0202402001",0,0,0,0,0,0,0,0,0,0
"0202501001",0,0,0,0,0,0,0,0,0,0
"0203002001",0,0,0,0,0,0,0,0,0,0
"0202501002",0,0,0,0,0,0,0,0,0,0
"0203001001",0,0,0,0,0,0,0,0,0,0
"0203501001",0,0,1,0,0,0,1,0,0,0
"0203702001",0,0,0,0,0,0,0,0,0,0
"0202501007",0,0,0,0,0,0,0,0,0,0
"0202701001",0,0,0,0,0,0,0,0,0,0
"0203701002",0,0,0,0,0,0,0,0,0,0
"0203701004",0,0,0,0,0,0,0,0,0,0
"0203701003",0,0,0,0,0,0,0,0,0,0
"0203705001",0,0,0,0,0,0,0,0,0,0
"0203706001",0,0,0,0,0,0,0,0,0,0
"0203401001",0,0,0,0,0,0,0,0,0,0
"0203501002",0,0,1,0,0,0,1,0,0,0
"0203901001",0,0,0,0,0,0,0,0,0,0
"0204101001",0,0,0,0,0,0,0,0,0,0
"0202401002",0,0,0,0,0,0,0,0,0,0
"0203201001",0,0,0,0,0,0,0,0,0,0
"0203301001",0,0,0,0,0,0,0,0,0,0
"0203703001",0,0,0,0,0,0,0,0,0,0
"0203703004",0,0,0,0,0,0,0,0,0,0
"0204301001",0,0,0,0,0,0,0,0,0,0
"0203101001",0,0,0,0,0,0,0,0,0,0
"0203703002",0,0,0,0,0,0,0,0,0,0
"0203703003",0,0,0,0,0,0,0,0,0,0
"0203705003",0,0,0,0,0,0,0,0,0,0
"0204701001",0,0,0,0,0,0,0,0,0,0
"0204901001",0,0,0,0,0,0,0,0,0,0
"0202501003",0,0,0,0,0,0,0,0,0,0
"0202501005",0,0,0,0,0,0,0,0,0,0
"0203702002",0,0,0,0,0,0,0,0,0,0
"0203702004",0,0,0,0,0,0,0,0,0,0
"0203703005",0,0,0,0,0,0,0,0,0,0
"0203703007",0,0,0,0,0,0,0,0,0,0
"0205101001",0,0,0,0,0,0,0,0,0,0
"0205401001",0,0,0,0,0,0,0,0,0,0
"0205501001",0,0,0,0,0,0,0,0,0,0
"0204001001",0,0,0,0,0,0,0,0,0,0
"0204501002",0,0,0,0,0,0,0,0,0,0
"0205301001",0,0,0,0,0,0,0,0,0,0
"0205701001",0,0,0,0,0,0,0,0,0,0
"0204502001",0,0,1,0,0,0,1,0,0,0
"0204601001",0,0,1,0,0,0,1,0,0,0
"0206401001",0,0,0,0,0,0,0,0,0,0
"0206601001",0,0,0,0,0,0,0,0,0,0
"0206901003",0,0,1,0,0,0,1,0,0,0
"0206902001",0,0,0,0,0,0,0,0,0,0
"0207701001",0,0,0,0,0,0,0,0,0,0
"0207901001",0,0,0,0,0,0,0,0,0,0
"0208102002",0,0,0,0,0,0,0,0,0,0
"0204801001",0,0,0,0,0,0,0,0,0,0
"0205001001",0,0,0,0,0,0,0,0,0,0
"0206001001",0,0,0,0,0,0,0,0,0,0
"0206201001",0,0,0,0,0,0,0,0,0,0
"0206902003",0,0,0,0,0,0,0,0,0,0
"0205201001",0,0,1,0,0,0,1,0,0,0
"0205602001",0,0,0,0,0,0,0,0,0,0
"0205701002",0,0,0,0,0,0,0,0,0,0
"0207101001",0,0,0,0,0,0,0,0,0,0
"0204501001",0,0,0,0,0,0,0,0,0,0
"0205302001",0,0,0,0,0,0,0,0,0,0
"0205303001",0,0,0,0,0,0,0,0,0,0
"0205601001",0,0,0,0,0,0,0,0,0,0
"0206801001",0,0,0,0,0,0,0,0,0,0
"0206903001",0,0,0,0,0,0,0,0,0,0
"0207001001",0,0,0,0,0,0,0,0,0,0
"0207404001",0,0,0,0,0,0,0,0,0,0
"0207502001",0,0,1,0,0,0,1,0,0,0
"0205901001",0,0,0,0,0,0,0,0,0,0
"0206101001",0,0,0,0,0,0,0,0,0,0
"0206902004",0,0,1,0,0,0,1,0,0,0
"0206301001",0,0,1,0,0,0,1,0,0,0
"0206902002",0,0,0,0,0,0,0,0,0,0
"0207201001",0,0,0,0,0,0,0,0,0,0
"0207401001",0,0,1,0,0,0,1,0,0,0
"0206901001",0,0,0,0,0,0,0,0,0,0
"0207302001",0,0,0,0,0,0,0,0,0,0
"0207302002",0,0,1,0,0,0,1,0,0,0
"0208001001",0,0,0,0,0,0,0,0,0,0
"0206701001",0,0,0,0,0,0,0,0,0,0
"0206901002",0,0,0,0,0,0,0,0,0,0
"0207301002",0,0,0,0,0,0,0,0,0,0
"0207301003",0,0,0,0,0,0,0,0,0,0
"0208101001",0,0,0,0,0,0,0,0,0,0
"0208102001",0,0,0,0,0,0,0,0,0,0
"0208401001",0,0,0,0,0,0,0,0,0,0
"0208501001",0,0,0,0,0,0,0,0,0,0
"0300502003",0,0,0,0,0,0,0,0,0,0
"0300601001",0,0,0,0,0,0,0,0,0,0
"0208101002",0,0,0,0,0,0,0,0,0,0
"0208101003",0,0,0,0,0,0,0,0,0,0
"0208301001",0,0,0,0,0,0,0,0,0,0
"0300502001",0,0,0,0,0,0,0,0,0,0
"0300502002",0,0,0,0,0,0,0,0,0,0
"0207902001",0,0,0,0,0,0,0,0,0,0
"0208102003",0,0,0,0,0,0,0,0,0,0
"0208104002",0,0,0,0,0,0,0,0,0,0
"0207202001",0,0,0,0,0,0,0,0,0,0
"0207402001",0,0,1,0,0,0,1,0,0,0
"0207403001",0,0,0,0,0,0,0,0,0,0
"0208104003",0,0,0,0,0,0,0,0,0,0
"0208201001",0,0,0,0,0,0,0,0,0,0
"0206903002",0,0,0,0,0,0,0,0,0,0
"0207501001",0,0,1,0,0,0,1,0,0,0
"0207601001",0,0,0,0,0,0,0,0,0,0
"0203601001",0,0,0,0,0,0,0,0,0,0
"0203702003",0,0,0,0,0,0,0,0,0,0
"0203703006",0,0,0,0,0,0,0,0,0,0
"0203801001",0,0,1,0,0,0,1,0,0,0
"0204201001",0,0,0,0,0,0,0,0,0,0
"0204502002",0,0,0,0,0,0,0,0,0,0
"0205102001",0,0,0,0,0,0,0,0,0,0
"0205801001",0,0,0,0,0,0,0,0,0,0
"0208103003",0,0,0,0,0,0,0,0,0,0
"0208104001",0,0,0,0,0,0,0,0,0,0
"0300201003",0,0,0,0,0,0,0,0,0,0
"0300401001",0,0,0,0,0,0,0,0,0,0
"0300901004",0,0,0,0,0,0,0,0,0,0
"0300902001",0,0,0,0,0,0,0,0,0,0
"0290101002",0,0,1,0,0,0,1,0,0,0
"0300201001",0,0,0,0,0,0,0,0,0,0
"0300902003",0,0,0,0,0,0,0,0,0,0
"0206501001",0,0,0,0,0,0,0,0,0,0
"0206901004",0,0,0,0,0,0,0,0,0,0
"0207301001",0,0,1,0,0,0,1,0,0,0
"0207402002",0,0,0,0,0,0,0,0,0,0
"0207801001",0,0,0,0,0,0,0,0,0,0
"0208104004",0,0,0,0,0,0,0,0,0,0
"0290101001",0,0,1,0,0,0,1,0,0,0
"0300501004",0,0,0,0,0,0,0,0,0,0
"0300901001",0,0,0,0,0,0,0,0,0,0
"0300902004",0,0,0,0,0,0,0,0,0,0
"0208103002",0,0,0,0,0,0,0,0,0,0
"0208103004",0,0,0,0,0,0,0,0,0,0
"0300201002",0,0,0,0,0,0,0,0,0,0
"0300301001",0,0,0,0,0,0,0,0,0,0
"0300901006",0,0,0,0,0,0,0,0,0,0
"0300902002",0,0,0,0,0,0,0,0,0,0
"0300904005",0,0,0,0,0,0,0,0,0,0
"0300904007",0,0,0,0,0,0,0,0,0,0
"0300907003",0,0,0,0,0,0,0,0,0,0
"0300907007",0,0,0,0,0,0,0,0,0,0
"0300501001",0,0,0,0,0,0,0,0,0,0
"0300501003",0,0,0,0,0,0,0,0,0,0
"0300801001",0,0,1,1,1,0,1,1,1,0
"0300901003",0,0,0,0,0,0,0,0,0,0
"0300905001",0,0,0,0,0,0,0,0,0,0
"0300905003",0,0,0,0,0,0,0,0,0,0
"0300906004",0,0,0,0,0,0,0,0,0,0
"0300907001",0,0,0,0,0,0,0,0,0,0
"0301301001",0,0,0,0,0,0,0,0,0,0
"0300501002",0,0,0,0,0,0,0,0,0,0
"0300701001",0,0,0,0,0,0,0,0,0,0
"0300902007",0,0,0,0,0,0,0,0,0,0
"0300904001",0,0,0,0,0,0,0,0,0,0
"0300904008",0,0,0,0,0,0,0,0,0,0
"0300906005",0,0,0,0,0,0,0,0,0,0
"0300908001",0,0,0,0,0,0,0,0,0,0
"0301001001",0,0,0,0,0,0,0,0,0,0
"0301401001",1,0,0,1,1,0,0,1,1,0
"0301401008",0,0,0,1,1,1,0,1,1,0
"0300902005",0,0,0,0,0,0,0,0,0,0
"0300903001",0,0,0,0,0,0,0,0,0,0
"0300903006",0,0,0,0,0,0,0,0,0,0
"0300904002",0,0,0,0,0,0,0,0,0,0
"0300907008",0,0,0,0,0,0,0,0,0,0
"0300908002",0,0,0,0,0,0,0,0,0,0
"0301101001",0,0,0,0,0,0,0,0,0,0
"0301101003",0,0,0,0,0,0,0,0,0,0
"0301401017",0,0,1,1,1,1,0,1,1,0
"0301401019",0,0,0,1,1,1,0,1,1,0
"0300903003",0,0,0,0,0,0,0,0,0,0
"0300903004",0,0,0,0,0,0,0,0,0,0
"0300905004",0,0,0,0,0,0,0,0,0,0
"0300906001",0,0,0,0,0,0,0,0,0,0
"0300906002",0,0,0,0,0,0,0,0,0,0
"0300908004",0,0,0,0,0,0,0,0,0,0
"0300908005",0,0,0,0,0,0,0,0,0,0
