reg_militar;lugar;nombre;capacidad;coords;
6;san sebastian;cuartel san telmo;;43.324903386716024, -1.9849742697541153;
6;san sebastian;fronton municipal de atocha;300;43.31753497913633, -1.9757331127334747;
6;san sebastian;antigua casa de beneficiencia;;43.321123529543954, -1.973068245344871;
6;irun;cuartel de irun;;43.34276575067822, -1.7806264077069507;
6;vitoria;cuartel general loma;;42.8404138626741, -2.669264624752701;
6;vitoria;cuartel de artilleria general alava;;42.844955149722026, -2.6679495454508513;
6;vitoria;cuartel de infanteria de san francisco;;42.845809883426554, -2.6707146976117078;
6;vitoria;cuartel de caballeria de san francisco y resbaladero;;42.84602315730344, -2.670752057709627;
6;laguardia;cuartel de infanteria antiguo castillo del rey;;42.5558481085048, -2.5851265915105404;
6;pamplona;cuartel de san nicolas;;42.81424141172638, -1.6447198418957287;
6;pamplona;cuartel del general moriones;;42.81171956556175, -1.6450752592213873;
6;pamplona;cuartel general marques del duero;;42.81404881902149, -1.6488757026267626;
6;pamplona;cuartel grande, ciudadela de pamplona;680;42.81202926104423, -1.649459340084217;
6;pamplona;cuartel pequeño, ciudadela de pamplona;;42.81202926104423, -1.649459340084217;
6;pamplona;cuartelillo de caballeria, ciudadela de pamplona;60;;
6;estella;cuartel de infanteria;;42.669456691667335, -2.0293479931495;
6;tudela;cuartel de infanteria;380;42.06314051875801, -1.6022700458653434;
6;logroño;cuartel del general urrutia;1600;42.46762114242049, -2.4558051464517834;
6;logroño;cuartel de alfonso xii;;42.466480529289974, -2.4393213196621994;
7;valladolid;san benito;1204;41.654514725065226, -4.729832249791432;
7;valladolid;capitania general;61;;
7;valladolid;exconvento de la merced;100;41.64934649879203, -4.718733996563139;
7;valladolid;conde ansurez;440;41.63320217361735, -4.728281467664821;
7;valladolid;general ordoñez;170;41.65261896521706, -4.731551277076701;
7;medina del campo;marques de la ensenada;240;41.30301573043662, -4.912753186562317;
7;zamora;cuartel de infanteria;400;41.50654151503994, -5.744955281001914;
7;ciudad rodrigo;santi spiritus;200;40.59803055743163, -6.536992806362098;
7;ciudad rodrigo;cuartel de caballeria;80;;
7;ciudad rodrigo;cuartel barracon de la colada;20;;
7;salamanca;trilingüe;200;40.96074790819671, -5.669417960686289;
7;bejar;palacio de osuna;100;40.38823318857609, -5.77439501054114;
7;caceres;colegio viejo;322;39.475657417340855, -6.373890513204984;
7;trujillo;exconvento san francisco;50;;
7;valencia de alcantara;cuartel del castillo;134;39.41313451449092, -7.240186666189869;
7;segovia;casa grande;480;40.94273707734112, -4.114062300093353;
7;san ildefonso;guardias de corps;600;40.89999720544073, -4.007870437514328;
7;san ildefonso;retenes;100;40.89860103593465, -4.007232070756128;
7;san ildefonso;bovedas;100;40.89860103593465, -4.007232070756128;
8;coruña;cuartel del principe alfonso;1700;43.372993524888955, -8.393655135536505;
8;coruña;cuartel del corralon;300;43.37260375842548, -8.400358522936463;
8;coruña;cuartel de zalaeta;114;43.3736637063578, -8.401008694787155;
8;coruña;parque de san amaro;180;43.3782014792678, -8.399209435941621;
8;santiago;cuartel de maria isabel;400;42.88600700064721, -8.548669014828944;
8;lugo;cuartel de san fernando;650;43.01444080472469, -7.557964773895717;
8;ferrol;cuartelillo de san fernando de campon;7;;
8;ferrol;cuartel de dolores;500;43.47902486217065, -8.223419592114256;
8;ferrol;cuartel del baluarte de infanteria;320;43.48711137918602, -8.231511658854194;
8;ferrol;cuartel de montefaro;150;43.450649262208984, -8.282192521465293;
8;ferrol;cuerpo de guardias del visijon (?);40;;
8;ferrol;cuerpo de agua del regal;15;;
8;mondoñedo;cuartel del provincial;46;;
8;ferrol;cuartel para un regimiento de infanteria en pie de paz;1123;;
8;vigo;cuartel de artilleria en el castillo del castro;70;42.23269881757022, -8.72605934992083;
8;vigo;cuartel de infanteria en el castillo de san sebastian;196;42.236940689793066, -8.726654251074821;
8;vigo;cuartelillo de la carcel;100;42.23613110966611, -8.7210617381669;
8;vigo;mercado del progreso;100;42.235418137346166, -8.722318603255669;
8;vigo;cuartel de santo domingo;181;43.370090341072036, -8.390995860463823;
8;vigo;cuerpo guardia del puerto internacional;30;;
8;ourense;cuartel de san francisco;450;42.337338102464315, -7.859655620237602;
