"CUSEC","min_dist_army"
"0207202001",59446.4627712427
"0207402001",38187.2252482585
"0207403001",43677.8749480761
"0208104003",57849.0686003352
"0208201001",61743.859150583
"0206903002",42316.2297829326
"0207501001",24008.3480939775
"0207601001",69012.3110940255
"0203601001",37191.9437535201
"0203702003",51304.1325230501
"0203703006",53096.0890334846
"0203801001",20084.1780283892
"0204201001",70215.8525361673
"0204502002",30212.1653592427
"0205102001",55099.3574271994
"0205801001",57801.9832200178
"0208103003",65970.6651772411
"0208104001",71847.579631399
"0300201003",14022.5534740541
"0300401001",17631.9733156957
"0300901004",19067.4986792966
"0300902001",18477.2079127338
"0290101002",26011.078079134
"0300201001",14274.2496067341
"0300902003",19105.618769187
"0206501001",24347.0005096227
"0206901004",35064.7967814216
"0207301001",30300.255905002
"0207402002",42643.0792422641
"0207801001",43138.780384674
"0208104004",62580.1223760489
"0290101001",17208.031640199
"0300501004",37598.5226641537
"0300901001",18820.9687407666
"0300902004",18405.1522164263
"0208103002",72111.0074790242
"0208103004",72192.6472713616
"0300201002",13576.2594833728
"0300301001",26203.5394325413
"0300901006",18395.8920804803
"0300902002",18898.4175543414
"0300904005",19755.8785452021
"0300904007",19782.7920202101
"0300907003",18755.3415810308
"0300907007",18427.7802094499
"0300501001",37307.301387625
"0300501003",36673.3763335828
"0300801001",5537.87135064551
"0300901003",18803.2716926442
"0300905001",19215.9732444995
"0300905003",19886.1468327334
"0300906004",19247.0525214639
"0300907001",18998.4575164056
"0301301001",43431.1905962006
"0300501002",36998.2182204964
"0300701001",19761.8479156867
"0300902007",18590.9801014685
"0300904001",19271.8946048672
"0300904008",19412.9736186782
"0300906005",19038.2838165256
"0300908001",18916.2656088802
"0301001001",29651.1155261442
"0301401001",1229.39456450687
"0301401008",1118.97793651749
"0300902005",18554.2543776728
"0300903001",19637.8147323882
"0300903006",20303.6900394395
"0300904002",19464.9148027051
"0300907008",18295.1057016786
"0300908002",18779.7953554574
"0301101001",16327.51465469
"0301101003",15989.5118897091
"0301401017",502.837236011608
"0301401019",634.542431419492
"0300903003",19675.0499440951
"0300903004",19893.1116042788
"0300905004",19642.5970498191
"0300906001",19350.5381472349
"0300906002",19499.2534598244
"0300908004",18765.2766365948
"0300908005",18677.4675760043
"0301401004",1013.40261052152
"0301401005",819.299872229684
"0301401020",1278.32010784761
"0301401023",1265.59116348119
"0301401026",970.57317429621
"0301402016",1530.23806596476
"0300904003",19656.9781844222
"0300905002",19464.4590540985
"0300906003",19293.3425451936
"0300908003",22179.441762682
"0300903002",19642.7395017493
"0300903005",20120.3046133584
"0300905005",19558.046631732
"0300905006",19657.6069048252
"0300908006",18603.013347806
"0300908007",18188.4357963941
"0301401003",1165.84655723294
"0301401006",1251.28008830773
"0301401021",1052.27694421278
"0301401022",1029.7370764889
"0301402018",1103.90545408905
